８の殺人　【新装版】,我孫子武丸,講談社,713円
闇の喇叭（空閑純シリーズ１）,有栖川有栖,講談社,671円
死神の浮力（死神シリーズ２）,伊坂幸太郎,文藝春秋,858円
人形の部屋,門井慶喜,東京創元社,858円
親不孝通りディテクティブ,北森鴻,講談社,649円
ウェディング・ドレス,黒田研二,講談社,838円
桜姫,近藤史恵,角川書店,565円
天使はモップを持って　（女清掃員探偵　キリコシリーズ１）,近藤史恵,文芸春秋,723円
鏡の中は日曜日,殊能将之,講談社,859円
ＱＥＤ　伊勢の曙光,高田崇史,講談社,979円
仮面病棟,知念実希人,実業之日本社,652円
聯愁殺,西澤保彦,中央公論新社,838円
アコギなのかリッパなのか（佐倉聖の事件簿シリーズ１）,畠中恵,新潮社,605円
殺人ウイルスを追え,深谷忠記,光文社,682円
完全恋愛,牧薩次,小学館,901円
殺人の祭壇,森村誠一,双葉社,713円
虚夢,薬丸岳,講談社,692円
私という名の変奏曲,連城三紀彦,文藝春秋,770円
舞田ひとみ１１歳、ダンスときどき探偵（舞田ひとみシリーズ１）,歌野晶午,光文社,755円
刑事失格,太田忠司,東京創元社,836円
廉恥−警視庁強行犯係・樋口顕−,今野敏,幻冬舎,715円
和気有町屋南部署,滝田務雄,徳間書店,704円
ＯＮＥ　（猟奇犯罪捜査班・藤堂比奈子６）,内藤了,ＫＡＤＯＫＡＷＡ,616円
体育館の殺人（裏染天馬シリーズ１）,青崎有吾,東京創元社,858円
文化祭オクロック,竹内真,東京創元社,792円
昨日まで不思議の校舎（市立高校シリーズ６）,似鳥鶏,東京創元社,748円
月光,誉田哲也,中央公論新社,713円
リロ・グラ・シスタ,詠坂雄二,光文社,682円
七つの会議,池井戸潤,集英社,880円
冤罪死刑,緒川怜,講談社,825円
トッカンｖｓ勤労商工会,高殿円,早川書房,836円
灰色の虹,貫井徳郎,新潮社,979円
空飛ぶ広報室,有川浩,幻冬舎,847円
三匹のおっさんふたたび（三匹のおっさんシリーズ２）,有川浩,新潮社,781円
ラッシュライフ,伊坂幸太郎,新潮社,692円
君に訣別の時を,北方謙三,集英社,681円
花妖譚,司馬遼太郎,文藝春秋,440円
小説　君の名は。,新海誠,ＫＡＤＯＫＡＷＡ,616円
小説　言の葉の庭,新海誠,ＫＡＤＯＫＡＷＡ,748円
ボーダーライン,真保裕一,集英社,880円
アクセス,誉田哲也,新潮社,692円
望郷,湊かなえ,文藝春秋,605円
ふしぎな図書館,村上春樹／佐々木マキ,講談社,565円
クライマーズ・ハイ,横山秀夫,文藝春秋,692円
叱る、だけど怒らない,永六輔,光文社,545円
マンボウ最後の大バクチ,北杜夫,新潮社,440円
自分の心も好きになりたい,銀色夏生,角川書店,734円
「断わる力」を身につける！,斎藤茂太,集英社,572円
司馬遼太郎と城を歩く,司馬遼太郎,光文社,734円
ドラコニア綺譚集,渋沢龍彦,河出書房新社,638円
最低で最高の本屋,松浦弥太郎,集英社,586円
意味がなければスイングはない,村上春樹,文藝春秋,597円
夢を見るために毎朝僕は目覚めるのです　村上春樹インタビュー集１９９７−２０１１,村上春樹,文藝春秋,880円
権益の侵（町奉行内与力奮闘記３）,上田秀人,幻冬舎,715円
天地明察,冲方丁,角川書店,607円
三国志読本,北方謙三,角川春樹事務所,628円
泣き童子　三島屋変調百物語参之続,宮部みゆき,角川書店,836円
忍びの国,和田竜,新潮社,607円
魔法少女育成計画ＡＣＥＳ,遠藤浅蜊,宝島社,748円
神獄塔メアリスケルター,乙野四方字,ＫＡＤＯＫＡＷＡ,627円
とある魔術のヘヴィーな座敷童が簡単な殺人妃の婚活事情,鎌池和馬,ＫＡＤＯＫＡＷＡ,715円
かんぱに☆ガールズ　社長！！またまた出撃のお時間です！,神代創,ＫＡＤＯＫＡＷＡ,748円
ブラス・オブ・シェルオール,是鐘リュウジ,ＫＡＤＯＫＡＷＡ,638円
最後の魔王の戦記,紺野アスタ,講談社,704円
再び始まる反救世譚（エスカトラ）,上智一麻,ＫＡＤＯＫＡＷＡ,638円
ラエティティア覇竜戦記　神王のゲーム,すえばしけん,ホビージャパン,702円
魔術楽譜（グリモワール）の盾,花間灯,ＫＡＤＯＫＡＷＡ,638円
死線世界の追放者（リジェクター）,ミズノアユム,ＫＡＤＯＫＡＷＡ,638円
覇剣の皇姫アルティーナ　小綺譚,むらさきゆきや,ＫＡＤＯＫＡＷＡ,638円
ラスト・フェニックス,諸星崇,ＫＡＤＯＫＡＷＡ,682円
紅霞後宮物語,雪村花菜,ＫＡＤＯＫＡＷＡ,638円
１００万回死んでも少女は死体回収屋の苦労を知らない,割石裂,ＫＡＤＯＫＡＷＡ,638円
魔法使いは超能力者を殺せるか　サイ＆ソーサリィ,安道やすみち,講談社,704円
花×華,岩田洋季,アスキー・メディアワークス,649円
僕の妹は漢字が読める,かじいたかし,ホビージャパン,681円
オトコを見せてよ倉田くん！,斉藤真也,メディアファクトリー,638円
この中に１人、妹がいる！,田口一,メディアファクトリー,638円
ジョシコーセーの成分。−ＳＣＨＯＯＬ　ＧＩＲＬ　ＯＶＥＲＦＬＯＷ−,ハセガワケイスケ,アスキー・メディアワークス,627円
おまえをオタクにしてやるから、俺をリア充にしてくれ！　小豆エンド,村上凛,ＫＡＤＯＫＡＷＡ,660円
天使の３Ｐ！,蒼山サグ,アスキー・メディアワークス,561円
戦極ヤヲヨロズ,内田俊,ＫＡＤＯＫＡＷＡ,638円
伝説兄妹！,おかもと〈仮〉,宝島社,503円
いもうとがかり,月見草平,メディアファクトリー,638円
私とあなたの青春革命。,広沢サカキ,アスキー・メディアワークス,671円
流星（ほし）生まれのスピカ,兎月竜之介,集英社,671円
マーシアン・ウォースクール,エドワード・スミス,ＫＡＤＯＫＡＷＡ,671円
革命機ヴァルヴレイヴ,乙野四方字,アスキー・メディアワークス,671円
ワールドエンドライツ,花房牧生,ホビージャパン,681円
シャーロック・ホームズ全集(1)−緋色の習作−,アーサー・コナン・ドイル,河出書房新社,715円
オリエント急行の殺人−クリスティー文庫−　（ポアロシリーズ８）,アガサ・クリスティ,早川書房,748円
ＣＳＩ：科学捜査班−コールド・バーン−,マックス・アラン・コリンズ,角川書店,776円
背信の海,ルアン・ライス,集英社,922円
人を動かす,Ｄ・カーネギー,創元社,715円
ふむふむ,三浦しをん,新潮社,649円
娘の味,阿川佐和子,新潮社,506円
ハーバード式脱暗記型思考術,石角友愛,新潮社,539円
スタンフォードの自分を変える教室,ケリー・マクゴニガル,大和書房,814円
